Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
291,114,,,,,,,,,,,,,,,,,,,,,,,,
292,111,,,,,,,,,,,,,,,,,,,,,,,,
293,111,,,,,,,,,,,,,,,,,,,,,,,,
294,112,,,,,,,,,,,,,,,,,,,,,,,,
295,112,,,,,,,,,,,,,,,,,,,,,,,,
296,188,,,,,,,,,,,,,,,,,,,,,,,,
297,112,,,,,,,,,,,,,,,,,,,,,,,,
298,115,,,,,,,,,,,,,,,,,,,,,,,,
299,115,,,,,,,,,,,,,,,,,,,,,,,,
300,113,,,,,,,,,,,,,,,,,,,,,,,,
301,112,,,,,,,,,,,,,,,,,,,,,,,,
302,112,,,,,,,,,,,,,,,,,,,,,,,,
303,111,,,,,,,,,,,,,,,,,,,,,,,,
304,111,,,,,,,,,,,,,,,,,,,,,,,,
305,111,,,,,,,,,,,,,,,,,,,,,,,,
306,111,,,,,,,,,,,,,,,,,,,,,,,,
307,187,,,,,,,,,,,,,,,,,,,,,,,,
308,111,,,,,,,,,,,,,,,,,,,,,,,,
309,114,,,,,,,,,,,,,,,,,,,,,,,,
310,113,,,,,,,,,,,,,,,,,,,,,,,,
311,112,,,,,,,,,,,,,,,,,,,,,,,,
312,111,,,,,,,,,,,,,,,,,,,,,,,,
313,112,,,,,,,,,,,,,,,,,,,,,,,,
314,112,,,,,,,,,,,,,,,,,,,,,,,,
315,111,,,,,,,,,,,,,,,,,,,,,,,,
316,111,,,,,,,,,,,,,,,,,,,,,,,,
317,112,,,,,,,,,,,,,,,,,,,,,,,,
318,140,,,,,,,,,,,,,,,,,,,,,,,,
319,112,,,,,,,,,,,,,,,,,,,,,,,,
320,114,,,,,,,,,,,,,,,,,,,,,,,,
321,114,,,,,,,,,,,,,,,,,,,,,,,,
322,112,,,,,,,,,,,,,,,,,,,,,,,,
323,111,,,,,,,,,,,,,,,,,,,,,,,,
324,112,,,,,,,,,,,,,,,,,,,,,,,,
325,111,,,,,,,,,,,,,,,,,,,,,,,,
326,112,,,,,,,,,,,,,,,,,,,,,,,,
327,111,,,,,,,,,,,,,,,,,,,,,,,,
328,111,,,,,,,,,,,,,,,,,,,,,,,,
329,115,,,,,,,,,,,,,,,,,,,,,,,,
330,112,,,,,,,,,,,,,,,,,,,,,,,,
331,115,,,,,,,,,,,,,,,,,,,,,,,,
332,115,,,,,,,,,,,,,,,,,,,,,,,,
333,112,,,,,,,,,,,,,,,,,,,,,,,,
334,125,,,,,,,,,,,,,,,,,,,,,,,,
335,113,,,,,,,,,,,,,,,,,,,,,,,,
336,113,,,,,,,,,,,,,,,,,,,,,,,,
337,114,,,,,,,,,,,,,,,,,,,,,,,,
338,113,,,,,,,,,,,,,,,,,,,,,,,,
339,114,,,,,,,,,,,,,,,,,,,,,,,,
340,116,,,,,,,,,,,,,,,,,,,,,,,,
341,116,,,,,,,,,,,,,,,,,,,,,,,,
342,119,,,,,,,,,,,,,,,,,,,,,,,,
343,120,,,,,,,,,,,,,,,,,,,,,,,,
344,118,,,,,,,,,,,,,,,,,,,,,,,,
345,187,,,,,,,,,,,,,,,,,,,,,,,,
346,117,,,,,,,,,,,,,,,,,,,,,,,,
347,118,,,,,,,,,,,,,,,,,,,,,,,,
348,118,,,,,,,,,,,,,,,,,,,,,,,,
349,119,,,,,,,,,,,,,,,,,,,,,,,,
350,119,,,,,,,,,,,,,,,,,,,,,,,,
351,120,,,,,,,,,,,,,,,,,,,,,,,,
352,121,,,,,,,,,,,,,,,,,,,,,,,,
353,123,,,,,,,,,,,,,,,,,,,,,,,,
354,123,,,,,,,,,,,,,,,,,,,,,,,,
355,119,,,,,,,,,,,,,,,,,,,,,,,,
356,206,,,,,,,,,,,,,,,,,,,,,,,,
357,118,,,,,,,,,,,,,,,,,,,,,,,,
358,119,,,,,,,,,,,,,,,,,,,,,,,,
359,120,,,,,,,,,,,,,,,,,,,,,,,,
360,121,,,,,,,,,,,,,,,,,,,,,,,,
361,121,,,,,,,,,,,,,,,,,,,,,,,,
362,123,,,,,,,,,,,,,,,,,,,,,,,,
363,124,,,,,,,,,,,,,,,,,,,,,,,,
364,126,,,,,,,,,,,,,,,,,,,,,,,,
365,125,,,,,,,,,,,,,,,,,,,,,,,,
366,121,,,,,,,,,,,,,,,,,,,,,,,,
367,224,,,,,,,,,,,,,,,,,,,,,,,,
368,121,,,,,,,,,,,,,,,,,,,,,,,,
369,121,,,,,,,,,,,,,,,,,,,,,,,,
370,122,,,,,,,,,,,,,,,,,,,,,,,,
371,121,,,,,,,,,,,,,,,,,,,,,,,,
372,122,,,,,,,,,,,,,,,,,,,,,,,,
373,121,,,,,,,,,,,,,,,,,,,,,,,,
374,123,,,,,,,,,,,,,,,,,,,,,,,,
375,125,,,,,,,,,,,,,,,,,,,,,,,,
376,125,,,,,,,,,,,,,,,,,,,,,,,,
377,122,,,,,,,,,,,,,,,,,,,,,,,,
378,230,,,,,,,,,,,,,,,,,,,,,,,,
379,122,,,,,,,,,,,,,,,,,,,,,,,,
380,122,,,,,,,,,,,,,,,,,,,,,,,,
381,122,,,,,,,,,,,,,,,,,,,,,,,,
382,121,,,,,,,,,,,,,,,,,,,,,,,,
383,176,,,,,,,,,,,,,,,,,,,,,,,,
384,122,,,,,,,,,,,,,,,,,,,,,,,,
385,123,,,,,,,,,,,,,,,,,,,,,,,,
386,126,,,,,,,,,,,,,,,,,,,,,,,,
387,126,,,,,,,,,,,,,,,,,,,,,,,,
388,122,,,,,,,,,,,,,,,,,,,,,,,,
389,236,,,,,,,,,,,,,,,,,,,,,,,,
390,122,,,,,,,,,,,,,,,,,,,,,,,,
391,122,,,,,,,,,,,,,,,,,,,,,,,,
392,122,,,,,,,,,,,,,,,,,,,,,,,,
393,122,,,,,,,,,,,,,,,,,,,,,,,,
394,219,,,,,,,,,,,,,,,,,,,,,,,,
395,123,,,,,,,,,,,,,,,,,,,,,,,,
