Reading Count,Sensor Value,,,,,,,,,,,,,,,,,,,,,,,,
420,118,,,,,,,,,,,,,,,,,,,,,,,,
421,213,,,,,,,,,,,,,,,,,,,,,,,,
422,191,,,,,,,,,,,,,,,,,,,,,,,,
423,119,,,,,,,,,,,,,,,,,,,,,,,,
424,119,,,,,,,,,,,,,,,,,,,,,,,,
425,119,,,,,,,,,,,,,,,,,,,,,,,,
426,214,,,,,,,,,,,,,,,,,,,,,,,,
427,165,,,,,,,,,,,,,,,,,,,,,,,,
428,118,,,,,,,,,,,,,,,,,,,,,,,,
429,119,,,,,,,,,,,,,,,,,,,,,,,,
430,119,,,,,,,,,,,,,,,,,,,,,,,,
431,118,,,,,,,,,,,,,,,,,,,,,,,,
432,214,,,,,,,,,,,,,,,,,,,,,,,,
433,146,,,,,,,,,,,,,,,,,,,,,,,,
434,119,,,,,,,,,,,,,,,,,,,,,,,,
435,119,,,,,,,,,,,,,,,,,,,,,,,,
436,119,,,,,,,,,,,,,,,,,,,,,,,,
437,214,,,,,,,,,,,,,,,,,,,,,,,,
438,127,,,,,,,,,,,,,,,,,,,,,,,,
439,118,,,,,,,,,,,,,,,,,,,,,,,,
440,118,,,,,,,,,,,,,,,,,,,,,,,,
441,118,,,,,,,,,,,,,,,,,,,,,,,,
442,118,,,,,,,,,,,,,,,,,,,,,,,,
443,214,,,,,,,,,,,,,,,,,,,,,,,,
444,123,,,,,,,,,,,,,,,,,,,,,,,,
445,119,,,,,,,,,,,,,,,,,,,,,,,,
446,118,,,,,,,,,,,,,,,,,,,,,,,,
447,119,,,,,,,,,,,,,,,,,,,,,,,,
448,211,,,,,,,,,,,,,,,,,,,,,,,,
449,120,,,,,,,,,,,,,,,,,,,,,,,,
450,119,,,,,,,,,,,,,,,,,,,,,,,,
451,118,,,,,,,,,,,,,,,,,,,,,,,,
452,118,,,,,,,,,,,,,,,,,,,,,,,,
453,119,,,,,,,,,,,,,,,,,,,,,,,,
454,213,,,,,,,,,,,,,,,,,,,,,,,,
455,120,,,,,,,,,,,,,,,,,,,,,,,,
456,118,,,,,,,,,,,,,,,,,,,,,,,,
457,119,,,,,,,,,,,,,,,,,,,,,,,,
458,119,,,,,,,,,,,,,,,,,,,,,,,,
459,208,,,,,,,,,,,,,,,,,,,,,,,,
460,119,,,,,,,,,,,,,,,,,,,,,,,,
461,119,,,,,,,,,,,,,,,,,,,,,,,,
462,118,,,,,,,,,,,,,,,,,,,,,,,,
463,119,,,,,,,,,,,,,,,,,,,,,,,,
464,119,,,,,,,,,,,,,,,,,,,,,,,,
465,208,,,,,,,,,,,,,,,,,,,,,,,,
466,119,,,,,,,,,,,,,,,,,,,,,,,,
467,118,,,,,,,,,,,,,,,,,,,,,,,,
468,119,,,,,,,,,,,,,,,,,,,,,,,,
469,119,,,,,,,,,,,,,,,,,,,,,,,,
470,209,,,,,,,,,,,,,,,,,,,,,,,,
471,119,,,,,,,,,,,,,,,,,,,,,,,,
472,119,,,,,,,,,,,,,,,,,,,,,,,,
473,119,,,,,,,,,,,,,,,,,,,,,,,,
474,118,,,,,,,,,,,,,,,,,,,,,,,,
475,119,,,,,,,,,,,,,,,,,,,,,,,,
476,207,,,,,,,,,,,,,,,,,,,,,,,,
477,119,,,,,,,,,,,,,,,,,,,,,,,,
478,118,,,,,,,,,,,,,,,,,,,,,,,,
479,119,,,,,,,,,,,,,,,,,,,,,,,,
480,119,,,,,,,,,,,,,,,,,,,,,,,,
481,214,,,,,,,,,,,,,,,,,,,,,,,,
482,119,,,,,,,,,,,,,,,,,,,,,,,,
483,118,,,,,,,,,,,,,,,,,,,,,,,,
484,118,,,,,,,,,,,,,,,,,,,,,,,,
485,118,,,,,,,,,,,,,,,,,,,,,,,,
486,121,,,,,,,,,,,,,,,,,,,,,,,,
487,214,,,,,,,,,,,,,,,,,,,,,,,,
488,118,,,,,,,,,,,,,,,,,,,,,,,,
489,119,,,,,,,,,,,,,,,,,,,,,,,,
490,119,,,,,,,,,,,,,,,,,,,,,,,,
491,140,,,,,,,,,,,,,,,,,,,,,,,,
492,215,,,,,,,,,,,,,,,,,,,,,,,,
493,119,,,,,,,,,,,,,,,,,,,,,,,,
494,118,,,,,,,,,,,,,,,,,,,,,,,,
